    0.294756653928776302E+01    0.145086230086622548E+10    0.158187195200427209E+04    0.651281847540122527E+00   -0.439726631259311773E+00   -0.791873843117527620E+00   -0.340639165236493602E+01   -0.498483601550805133E+01   -0.131368152277655312E+02
    0.263841466262166469E+01    0.146260290228665829E+10    0.149064362074485962E+04   -0.173569526714946676E+01   -0.218916324229277315E+00   -0.229581350536200990E+01   -0.697949505595543584E+00   -0.409449405170340786E+01   -0.116865448096608979E+02
    0.271712315377281710E+01    0.173013695839209819E+10    0.101799509040844578E+04    0.145614926638350717E+01   -0.303066133984820762E+01   -0.469987938644723258E+01   -0.588291665468925373E+01   -0.445096879973727155E+01   -0.108981224420157616E+02
    0.280446944519024077E+01    0.173243220361350989E+10    0.109265955593471335E+04    0.931486597610117428E+00   -0.285670397195247450E+01   -0.564920956233619620E+01   -0.300786543609385859E+01   -0.149334870536370534E+01   -0.101546646838753301E+02
    0.292022503410408607E+01    0.147095858991366410E+10    0.124501699420155978E+04   -0.129533739589192010E+01   -0.102725574122790508E+01   -0.110210961369387306E+01   -0.589577357812877167E+01   -0.193978102842333477E+01   -0.994039497675961847E+01
    0.298382047129384720E+01    0.155001636540966272E+10    0.124148914267204486E+04   -0.170622454957599246E+01   -0.119967909981237675E+01   -0.418340914407828635E+01   -0.363295554525465514E+01   -0.370245425667706218E+01   -0.981190114220737541E+01
    0.244881522504243065E+01    0.164824812117977476E+10    0.394452645473119958E+03    0.115670664567129045E+01   -0.344489578556025311E+01   -0.988048426636419563E+00   -0.278502330612896820E+01   -0.387738131259853258E+01   -0.977693708590207322E+01
    0.286701257455907754E+01    0.165292732833672333E+10    0.861261298710677579E+03    0.762681580325656583E+00   -0.269436195099791398E+01   -0.311889463974222814E+01   -0.173447235767900487E+01   -0.125307882427645811E+01   -0.931917271990785068E+01
    0.272823660274849278E+01    0.159733770511306286E+10    0.533628462184371870E+03   -0.144140074346506886E+01   -0.218683335002281432E+01   -0.110027988863985904E+01   -0.118756448523190006E+01   -0.409109881866022462E+01   -0.918796394424735396E+01
    0.289100071289094274E+01    0.158344052597148561E+10    0.564717692891657634E+03    0.182003905585862746E+01   -0.943969758670389680E+00   -0.124291376069895243E+01   -0.377695005844231169E+01   -0.320079792217782533E+01   -0.917529806749182875E+01
    0.291272888411949182E+01    0.167938202975725508E+10    0.680017260828454710E+03    0.161620311981057618E+01   -0.272516386295309276E+01   -0.296681695702086312E+01   -0.275828012554646396E+01   -0.475823809231034645E+01   -0.912455805422315969E+01
