# Wlen (micron), (Rpl/Rs)^2, (Rpl/Rs)^2 error
8.348000049591064453e-01 1.017517391316038154e-02 2.181124152209479446e-04
8.356999754905700684e-01 9.935635724183636622e-03 2.165894419252898967e-04
8.367000222206115723e-01 1.025354047969372420e-02 2.156328316883057608e-04
8.377000093460083008e-01 9.987612863510551137e-03 2.142459429501986426e-04
8.385999798774719238e-01 1.005264643555086462e-02 2.125683717184988924e-04
8.396000266075134277e-01 9.802892545392995205e-03 2.114381461824783306e-04
8.406000137329101562e-01 1.045087925518191525e-02 2.111148394182495755e-04
8.414999842643737793e-01 1.014084211159231239e-02 2.111180515668204687e-04
8.424999713897705078e-01 9.923907257851805053e-03 2.101398462343533177e-04
8.435000181198120117e-01 1.024765472146570502e-02 2.084053399745337083e-04
8.445000052452087402e-01 1.041220353918726610e-02 2.068189928418609144e-04
8.453999757766723633e-01 1.012085650653699563e-02 2.058056465568915345e-04
8.464000225067138672e-01 9.914732529099985064e-03 2.051824451813547131e-04
8.474000096321105957e-01 1.033898739040383166e-02 2.055785657460573311e-04
8.482999801635742188e-01 1.002432635574264895e-02 2.093213229617988758e-04
8.493000268936157227e-01 9.765708574395310509e-03 2.174264851728452874e-04
8.503000140190124512e-01 1.014303366717935438e-02 2.212129595351776141e-04
8.511999845504760742e-01 1.027813416765814558e-02 2.144710956697160325e-04
8.521999716758728027e-01 9.714767014286121785e-03 2.057323117997527393e-04
8.532000184059143066e-01 1.043936158441133993e-02 2.027329590179396967e-04
8.542000055313110352e-01 9.903916459562928098e-03 2.033796229542848963e-04
8.550999760627746582e-01 9.952704377991859752e-03 2.020415753796442923e-04
8.561000227928161621e-01 1.022277653463352608e-02 1.976123103760579487e-04
8.571000099182128906e-01 1.051458074479566518e-02 1.937072914098160578e-04
8.579999804496765137e-01 1.004207690654659174e-02 1.920913057471585492e-04
8.590000271797180176e-01 9.966535033834723542e-03 1.920935088493542055e-04
8.600000143051147461e-01 9.898618509055528286e-03 1.921735563999806050e-04
8.610000014305114746e-01 1.003897979405724179e-02 1.912635398558444643e-04
8.618999719619750977e-01 9.901710201043193577e-03 1.900088572577346890e-04
8.629000186920166016e-01 1.024214141271511010e-02 1.902263608908804846e-04
8.639000058174133301e-01 1.007058522855620863e-02 1.931273907197420653e-04
8.647999763488769531e-01 1.022738340188071929e-02 1.974328622622387316e-04
8.658000230789184570e-01 1.008725461112416032e-02 1.998056571055628898e-04
8.668000102043151855e-01 1.028047225385662726e-02 1.980357053204954737e-04
8.676999807357788086e-01 1.036400666343848843e-02 1.936058060577043485e-04
